City,Employment,Establishments,Wages
Honolulu,39.99999999999999,34.00000000000001,29.000000000000004
Miami,27,-2.0000000000000018,26
Tampa,24,8.000000000000007,13.99999999999999
New York,-6.000000000000005,25,3.0000000000000027
San Diego,20.999999999999996,-6.999999999999995,5.000000000000004
Atlanta,8.000000000000007,14.999999999999991,-6.999999999999995
Dallas,2.0000000000000018,13.99999999999999,-5.000000000000004
Boston,8.000000000000007,3.0000000000000027,-15.000000000000002
San Francisco,9.000000000000007,5.000000000000004,-18.999999999999993
Los Angeles,10.000000000000009,-28.000000000000004,7.000000000000006
