latest_date,area_name,avg_ann_chg,us_avg_ann_chg
2024-03-01,Boston,6.608849683527684,5.2605711307599945
2024-03-01,Dallas,6.0044818900856,5.2605711307599945
2024-04-01,Atlanta,5.724254161264386,5.2605711307599945
2024-04-01,Los Angeles,5.468982223176866,5.2605711307599945
2024-03-01,Honolulu,5.237983558086445,5.2605711307599945
2024-04-01,San Francisco,5.213172655505249,5.2605711307599945
2024-04-01,New York,5.145888780486674,5.2605711307599945
2024-04-01,Miami,4.921343872279604,5.2605711307599945
2024-03-01,San Diego,4.538554639164949,5.2605711307599945
2024-03-01,Tampa,4.432731835894654,5.2605711307599945
