CAGDP9 Real GDP by county and metropolitan area 1
CAGDP9 Real GDP by county and metropolitan area 1
Metropolitan Statistical Area
GeoFips,GeoName,2017,2018,2019,2020,2021,2022
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",9877209,10420520,10739379,8177630,(D),11753237
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",12489363,12912606,13667192,9102587,11405611,13132590
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",14982008,14151997,14696814,11648593,14488741,15904046
31080,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",31189120,30914555,31775547,23831620,29017902,31629103
33100,"Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",14830113,14599819,15340318,10859222,15526027,17224411
35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",44073353,48334189,49333853,30668155,41164849,45332340
41740,"San Diego-Chula Vista-Carlsbad, CA (Metropolitan Statistical Area)",8805819,8689335,8943274,6698810,8250197,9048348
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",14961458,15115051,16472258,15181184,18075714,13752085
45300,"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",5302712,5260022,5531898,4184705,5430715,5857123
46520,"Urban Honolulu, HI (Metropolitan Statistical Area)",4549988,4999847,5086307,2999584,3680703,4372817

Legend/Footnotes
1. Real GDP is in thousands of chained 2017 dollars. Industry detail is based on the 2017 North American Industry Classification System (NAICS).
"  Metropolitan Areas are defined (geographically delineated) by the Office of Management and Budget (OMB) bulletin no. 20-01 issued March 6, 2020."
(D) Not shown to avoid disclosure of confidential information; estimates are included in higher-level totals.
"  Last updated: December 7, 2023 -- new statistics for 2022, revised statistics for 2017-2021."
